C1:1
C10:1
C11:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D1_RX1:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D2_TX1:1
D3:1
D30:1
D31:1
D32:1
D33:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
E_ALT1:1
E_HDG1:1
E_NAV_FQ1:1
E_NAV_VOL1:1
F1:1
J1:1
J2:1
J3:1
J5:1
J6:1
J7:1
PCBMOUNT1:1
PCBMOUNT2:1
PCBMOUNT3:1
PCBMOUNT4:1
PCBMOUNT5:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF1:1
REF2:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
U1:1
U2:1
U3:1
U4:1
Y1:1
