Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",LEDC1608X39N,30,LED,
E_COM1,Rotary_Encoder_Switched_PEC11R,1,PEC11R-4215F-S0024,PEC11R-4215F-S0024
"E_COM_FQ1, E_CRS_BARO1, E_FMS1",PEC11D4120FS0015,3,PEC11D-4120F-S0015,
E_MAP1,RKJXT1F42001,1,RKJXT1F42001,
J2,CF31361D0R0-05-NH,1,~,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R4, R5, R6, R7, R8, R9",0603,30,180Ω,
"S1, S2, S3, S4, S5, S6, S7",PTS526SK15SMTR2LFS,7,PTS526_SK15_SMTR2_LFS,
